bc_num,coll_code,HW,HL,SL,EL,FL,ML,PL,PPL,GL,CI,EI,SI,FLI,WL,TL,caste,species,country,comment
640533,RMMA990929-06,1.121,0.969,1.026,0.189,0.684,1.653,0.437,0.228,1.083,115.6863,19.5046,91.5254,61.0169,0.665,4.37,worker,mikromelanos,Panama,none
640534,RMMA990929-06,1.102,0.969,1.007,0.19,0.665,1.634,0.38,0.247,1.026,113.7255,19.6078,91.3793,60.3448,0.627,4.256,worker,mikromelanos,Panama,none
640535,RMMA990929-06,1.121,0.988,1.026,0.209,0.684,1.691,0.437,0.266,1.102,113.4615,21.1538,91.5254,61.0169,0.703,4.484,worker,mikromelanos,Panama,none
640536,RMMA990929-06,1.121,1.007,1.045,0.198,0.703,1.691,0.38,0.228,1.083,111.3208,19.6624,93.2203,62.7119,0.608,4.389,worker,mikromelanos,Panama,none
640319,KG110512-01,1.042,0.788,1.07,0.338,0.338,1.999,0.479,0.282,1.605,132.2335,42.8934,102.6871,32.4376,0.761,5.153,male,zeteki,Panama,none
640320,KG110512-01,1.07,0.817,1.098,0.394,0.394,2.084,0.591,0.338,1.999,130.967,48.2252,102.6168,36.8224,0.929,5.829,male,zeteki,Panama,none
640321,KG110512-01,1.014,0.788,1.014,0.366,0.387,1.943,0.591,0.282,1.605,128.6802,46.4467,100,38.1657,0.873,5.209,male,zeteki,Panama,none
640322,KG110512-01,0.957,0.76,0.957,0.338,0.351,1.83,0.535,0.282,1.605,125.9211,44.4737,100,36.6771,0.817,5.012,male,zeteki,Panama,none
640323,KG110512-01,1.042,0.817,1.042,0.366,0.411,2.056,0.479,0.282,1.605,127.5398,44.798,100,39.4434,0.761,5.239,male,zeteki,Panama,none
640324,KG110510-01,1.07,0.76,0.929,0.366,0.366,1.887,0.479,0.253,1.605,140.7895,48.1579,86.8224,34.2056,0.732,4.984,male,zeteki,Panama,none
640325,KG110510-01,0.957,0.76,0.929,0.366,0.366,1.915,0.507,0.253,1.633,125.9211,48.1579,97.0742,38.2445,0.76,5.068,male,zeteki,Panama,none
640326,KG110510-01,1.042,0.76,0.957,0.366,0.366,1.887,0.591,0.253,1.633,137.1053,48.1579,91.8426,35.1248,0.844,5.124,male,zeteki,Panama,none
640327,KG110510-01,1.014,0.76,0.957,0.366,0.352,1.943,0.507,0.253,1.603,133.4211,48.1579,94.3787,34.714,0.76,5.066,male,zeteki,Panama,none
USNMENT00752570,HDFL19052010-8,1.003,0.76,0.972,0.365,0.395,1.975,0.486,0.274,1.732,131.9737,48.0263,96.9093,39.3819,0.76,5.227,male,zeteki,Panama,none
USNMENT00752568,HDFL19052010-8,1.033,0.76,1.003,0.365,0.395,1.945,0.456,0.319,1.717,135.9211,48.0263,97.0958,38.2381,0.775,5.197,male,zeteki,Panama,none
640367,KG110512-01A,1.042,0.817,1.042,0.366,0.366,2.112,0.451,0.282,1.661,127.5398,44.798,100,35.1248,0.733,5.323,male,zeteki,Panama,none
640368,KG110512-01A,0.986,0.746,0.929,0.352,0.366,1.938,0.456,0.285,1.653,132.1716,47.185,94.2191,37.1197,0.741,5.078,male,zeteki,Panama,none
640369,KG110512-01A,1.07,0.817,1.042,0.366,0.366,2.168,0.507,0.282,1.915,130.967,44.798,97.3832,34.2056,0.789,5.689,male,zeteki,Panama,none
640370,KG110512-01A,1.042,0.817,1.014,0.366,0.366,2.084,0.479,0.31,1.718,127.5398,44.798,97.3129,35.1248,0.789,5.408,male,zeteki,Panama,none
640387,KG110515-01,1.042,0.817,1.07,0.366,0.366,2.128,0.532,0.304,1.672,127.5398,44.798,102.6871,35.1248,0.836,5.453,male,zeteki,Panama,none
640388,KG110515-01,1.042,0.788,0.986,0.366,0.366,2.112,0.479,0.253,1.661,132.2335,46.4467,94.6257,35.1248,0.732,5.293,male,zeteki,Panama,none
640389,KG110515-01,1.042,0.788,1.014,0.366,0.366,1.999,0.451,0.253,1.69,132.2335,46.4467,97.3129,35.1248,0.704,5.181,male,zeteki,Panama,none
640390,KG110515-01,1.028,0.817,1.014,0.366,0.366,2.028,0.422,0.282,1.69,125.8262,44.798,98.6381,35.6031,0.704,5.239,male,zeteki,Panama,none
640333,KG110515-09,0.845,0.704,0.845,0.31,0.31,1.859,0.394,0.225,1.521,120.0284,44.0341,100,36.6864,0.619,4.703,male,mikromelanos,Panama,none
640334,KG110515-09,0.845,0.676,0.845,0.282,0.338,1.859,0.394,0.225,1.605,125,41.716,100,40,0.619,4.759,male,mikromelanos,Panama,none
640335,KG110515-09,0.845,0.676,0.845,0.31,0.31,1.802,0.394,0.239,1.492,125,45.858,100,36.6864,0.633,4.603,male,mikromelanos,Panama,none
640336,KG110515-09,0.831,0.676,0.817,0.31,0.31,1.718,0.366,0.225,1.38,122.929,45.858,98.3153,37.3045,0.591,4.365,male,mikromelanos,Panama,none
640337,KG110515-09,0.817,0.676,0.817,0.282,0.31,1.69,0.366,0.253,1.746,120.858,41.716,100,37.9437,0.619,4.731,male,mikromelanos,Panama,none
640338,KG110520-12,0.845,0.69,0.845,0.31,0.31,1.774,0.338,0.225,1.492,122.4638,44.9275,100,36.6864,0.563,4.519,male,mikromelanos,Panama,none
640339,KG110520-12,0.845,0.676,0.831,0.282,0.31,1.746,0.338,0.197,1.239,125,41.716,98.3432,36.6864,0.535,4.196,male,mikromelanos,Panama,none
640340,KG110520-12,0.873,0.704,0.817,0.31,0.31,1.774,0.338,0.225,1.69,124.0057,44.0341,93.5853,35.5097,0.563,4.731,male,mikromelanos,Panama,none
640341,KG110520-12,0.845,0.69,0.817,0.31,0.338,1.774,0.338,0.225,1.464,122.4638,44.9275,96.6864,40,0.563,4.491,male,mikromelanos,Panama,none
640354,KG110505-02,0.817,0.676,0.845,0.282,0.31,1.83,0.352,0.225,1.464,120.858,41.716,103.4272,37.9437,0.577,4.547,male,mikromelanos,Panama,none
640355,KG110505-02,0.845,0.676,0.817,0.282,0.31,1.859,0.366,0.225,1.408,125,41.716,96.6864,36.6864,0.591,4.534,male,mikromelanos,Panama,none
640356,KG110505-02,0.817,0.62,0.788,0.282,0.31,1.802,0.366,0.253,1.38,131.7742,45.4839,96.4504,37.9437,0.619,4.421,male,mikromelanos,Panama,none
640357,KG110505-02,0.845,0.732,0.817,0.31,0.31,1.802,0.338,0.225,1.38,115.4372,42.3497,96.6864,36.6864,0.563,4.477,male,mikromelanos,Panama,none
640358,KG110505-02,0.845,0.704,0.845,0.282,0.31,1.859,0.338,0.253,1.408,120.0284,40.0568,100,36.6864,0.591,4.562,male,mikromelanos,Panama,none
